request_id,task_type,quality,privacy,route,selected_model,is_mock_response,backend_latency_ms,total_latency_ms,http_status,short_response_preview,reasons,expected_route,match_expected,error
dual-real-smoke-000,qa,low,allow_remote,local,qwen35_08b_q4,false,1601.26,1901.06,200,"Thinking Process:  1.  **Analyze the Request:** The user wants a single sentence definition of ""edge AI"" (Edge Artificial Intelligence).  2.  **Define Edge AI:*",task_type=qa fits local default policy; estimated_prompt_tokens=9 <= max_local_prompt_tokens=512; Jetson state is healthy and local backend is available,local,true,
dual-real-smoke-001,summary,low,allow_remote,local,qwen35_08b_q4,false,1340.66,1494.41,200,"Thinking Process:  1.  **Analyze the Request:**     *   Input: A single sentence (""Q4 quantization keeps Jetson inference fast."").     *   Task: Summarize this ",task_type=summary fits local default policy; estimated_prompt_tokens=21 <= max_local_prompt_tokens=512; Jetson state is healthy and local backend is available,local,true,
dual-real-smoke-002,qa,medium,local_only,local,qwen35_08b_q4,false,1324.49,1490.51,200,Here's a thinking process that leads to the suggested answer:  1.  **Analyze the Request:**     *   **Topic:** Why is Edge Computing (端侧推理) suitable for privacy,privacy=local_only requires local execution; task fits local default policy,local,true,
dual-real-smoke-003,summary,medium,local_only,local,qwen35_08b_q4,false,1325.05,1489.24,200,"Here's a thinking process that leads to the suggested summary:  1.  **Analyze the Request:**     *   **Input:** ""battery normal, thermal state healthy, queue em",privacy=local_only requires local execution; task fits local default policy,local,true,
dual-real-smoke-004,code,medium,allow_remote,remote,qwen35_4b_q4,false,842.28,1018.7,200,"The user wants Python code that appends a dictionary row to a CSV file. I should provide a clear, practical example that shows:  1. How to open a CSV file in ap",task_type=code benefits from stronger backend,remote,true,
dual-real-smoke-005,code,medium,allow_remote,remote,qwen35_4b_q4,false,609.75,772.54,200,The user is asking me to debug a Python FileNotFoundError and provide two likely fixes. This is a straightforward programming question about error handling in P,task_type=code benefits from stronger backend,remote,true,
dual-real-smoke-006,reasoning,medium,allow_remote,remote,qwen35_4b_q4,false,609.6,758.15,200,Here's a thinking process that leads to the explanation of why Q4 (Quantum 4) can improve useful throughput per watt:  1.  **Deconstruct the Request:**     *   ,task_type=reasoning benefits from stronger backend,remote,true,
dual-real-smoke-007,reasoning,medium,allow_remote,remote,qwen35_4b_q4,false,606.21,760.9,200,Here's a thinking process that leads to the suggested deployment test plan:  1.  **Understand the Goal:** The user wants a deployment test plan for a system inv,task_type=reasoning benefits from stronger backend,remote,true,
dual-real-smoke-008,qa,high,allow_remote,remote,qwen35_4b_q4,false,619.76,790.99,200,Here's a thinking process that leads to the suggested answer:  1.  **Deconstruct the Request:**     *   **Topic:** Local vs. Remote Large Language Model (LLM) R,quality=high requests stronger model,remote,true,
dual-real-smoke-009,summary,high,allow_remote,remote,qwen35_4b_q4,false,624.15,768.9,200,"Okay, the user wants me to summarize an architecture at high quality for a design report. But wait, they haven't provided any specific architecture details. Hmm",quality=high requests stronger model,remote,true,
dual-real-smoke-010,code,medium,allow_remote,reject,,false,,146.81,400,,latency_budget_ms=500 is too low for task_type=code; complex task would likely miss the latency budget,reject,true,request rejected by routing policy
