request_id,image_source,task_type,privacy,quality,route,selected_model,remote_is_mock,local_cv_model,detected_labels,detections,capture_latency_ms,local_cv_latency_ms,remote_latency_ms,total_latency_ms,expected_route,match_expected,error,reasons
vision_detect_low,camera,detect,allow_remote,low,local,mobilenet_ssd_voc_opencv_dnn,False,mobilenet_ssd_voc_opencv_dnn,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.9734, ""box"": [65, 48, 1043, 706]}]",1198.55,77.96,,1448.61,local,True,,"[""task_type=detect is covered by the local CV baseline"", ""quality is not high, so remote VLM is unnecessary""]"
vision_classify_low,camera,classify,allow_remote,low,local,mobilenet_ssd_voc_opencv_dnn,False,mobilenet_ssd_voc_opencv_dnn,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.9734, ""box"": [65, 48, 1043, 706]}]",1198.55,77.96,,1448.59,local,True,,"[""task_type=classify is covered by the local CV baseline"", ""quality is not high, so remote VLM is unnecessary""]"
vision_detect_private,camera,detect,local_only,medium,local,mobilenet_ssd_voc_opencv_dnn,False,mobilenet_ssd_voc_opencv_dnn,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.9734, ""box"": [65, 48, 1043, 706]}]",1198.55,77.96,,1448.59,local,True,,"[""task_type=detect is covered by the local CV baseline"", ""quality is not high, so remote VLM is unnecessary""]"
vision_classify_private,camera,classify,local_only,medium,local,mobilenet_ssd_voc_opencv_dnn,False,mobilenet_ssd_voc_opencv_dnn,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.9734, ""box"": [65, 48, 1043, 706]}]",1198.55,77.96,,1448.59,local,True,,"[""task_type=classify is covered by the local CV baseline"", ""quality is not high, so remote VLM is unnecessary""]"
vision_scene_remote,camera,scene_description,allow_remote,medium,remote,mock_remote_vlm,True,mobilenet_ssd_voc_opencv_dnn,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.9734, ""box"": [65, 48, 1043, 706]}]",1198.55,77.96,0.0,1448.6,remote,True,,"[""task_type=scene_description requires semantic visual reasoning""]"
vision_vqa_high,camera,vqa,allow_remote,high,remote,mock_remote_vlm,True,mobilenet_ssd_voc_opencv_dnn,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.9734, ""box"": [65, 48, 1043, 706]}]",1198.55,77.96,0.0,1448.59,remote,True,,"[""task_type=vqa requires semantic visual reasoning"", ""quality=high requests stronger visual understanding""]"
vision_scene_high,camera,scene_description,allow_remote,high,remote,mock_remote_vlm,True,mobilenet_ssd_voc_opencv_dnn,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.9734, ""box"": [65, 48, 1043, 706]}]",1198.55,77.96,0.0,1448.59,remote,True,,"[""task_type=scene_description requires semantic visual reasoning"", ""quality=high requests stronger visual understanding""]"
vision_detect_high,camera,detect,allow_remote,high,remote,mock_remote_vlm,True,mobilenet_ssd_voc_opencv_dnn,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.9734, ""box"": [65, 48, 1043, 706]}]",1198.55,77.96,0.0,1448.59,remote,True,,"[""quality=high requests stronger visual understanding""]"
vision_vqa_private,camera,vqa,local_only,medium,reject,,False,mobilenet_ssd_voc_opencv_dnn,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.9734, ""box"": [65, 48, 1043, 706]}]",1198.55,77.96,,1448.59,reject,True,,"[""privacy=local_only prevents sending image to remote VLM"", ""local CV baseline only supports detection/classification, not high-level semantic explanation""]"
vision_scene_private_high,camera,scene_description,local_only,high,reject,,False,mobilenet_ssd_voc_opencv_dnn,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.9734, ""box"": [65, 48, 1043, 706]}]",1198.55,77.96,,1448.59,reject,True,,"[""privacy=local_only prevents sending image to remote VLM"", ""local CV baseline only supports detection/classification, not high-level semantic explanation""]"
