candidate_id,task_family,backend_type,hardware,model,quant,runtime,model_size_gib,peak_memory_mb,decode_tok_s,prefill_tok_s,cv_inference_latency_ms,cv_total_latency_ms,vlm_latency_ms,power_w,tok_per_w,max_temp_c,failures,quality_score_manual,integration_status,privacy_capability,remote_is_mock,notes
llm_qwen35_08b_f16_jetson,text,local_llm,Jetson Orin Nano 8GB,Qwen3.5 0.8B PTQ,F16,llama.cpp CUDA,1.413,3677,24.98,246.60,,,,18.93,1.32,67,0,3.0,benchmark_only,"local_only;allow_remote",false,"Project 1 quantization decision Jetson run; quality score is manual heuristic"
llm_qwen35_08b_q8_jetson,text,local_llm,Jetson Orin Nano 8GB,Qwen3.5 0.8B PTQ,Q8_0,llama.cpp CUDA,0.756,2953,47.10,405.13,,,,19.69,2.39,67,0,3.0,benchmark_only,"local_only;allow_remote",false,"Project 1 quantization decision Jetson run; conservative 0.8B quality option"
llm_qwen35_08b_q4_jetson,text,local_llm,Jetson Orin Nano 8GB,Qwen3.5 0.8B PTQ,Q4_K_M,llama.cpp CUDA,0.493,2703,56.54,406.99,,,,20.20,2.80,68,0,2.9,integrated_real_backend,"local_only;allow_remote",false,"Project 1 quantization decision winner and Project 2 local text backend"
llm_qwen35_4b_q4_jetson,text,local_llm,Jetson Orin Nano 8GB,Qwen3.5 4B PTQ,Q4_K_M,llama.cpp CUDA,2.523,4549,16.86,196.35,,,,23.91,0.71,72,0,4.0,benchmark_only,"local_only;allow_remote",false,"Project 1 4B representative Jetson run; quality-oriented local candidate but slower"
llm_gemma4_e2b_q4_jetson,text,local_llm,Jetson Orin Nano 8GB,Gemma 4 E2B it,Q4_K_M,llama.cpp CUDA,2.893,3664,32.68,146.26,,,,21.90,1.49,68,0,3.4,benchmark_only,"local_only;allow_remote",false,"Project 1 Jetson representative run; non-Qwen medium candidate"
llm_gemma4_e2b_q8_jetson,text,local_llm,Jetson Orin Nano 8GB,Gemma 4 E2B it,Q8_0,llama.cpp CUDA,4.702,4485,20.21,98.62,,,,20.58,0.98,67,0,3.5,benchmark_only,"local_only;allow_remote",false,"Project 1 Gemma Q8 full Jetson run; feasible but slower and larger than Q4"
llm_qwen35_4b_q4_rtx,text,remote_llm,RTX 5090 Laptop 24GB / WSL2,Qwen3.5 4B PTQ,Q4_K_M,llama.cpp server,2.523,6203,116.70,556.64,,,,95.19,1.23,56,0,4.1,integrated_real_backend,allow_remote,false,"Project 1 RTX PTQ benchmark and Project 2 remote text backend class"
llm_qwen35_4b_q8_rtx,text,remote_llm,RTX 5090 Laptop 24GB / WSL2,Qwen3.5 4B PTQ,Q8_0,llama.cpp CUDA,4.175,7897,87.90,617.06,,,,100.79,0.87,56,0,4.3,benchmark_only,allow_remote,false,"Project 1 RTX PTQ benchmark; quality-conservative remote candidate"
cv_mobilenet_ssd_opencv_jetson,cv,local_cv,Jetson Orin Nano 8GB,MobileNet-SSD,VOC Caffe,OpenCV DNN,,,,,90.71,127.83,,,,,0,3.0,integrated_real_backend,"local_only;allow_remote",false,"v0.5 local CV router baseline; positive real CSI camera detection"
cv_yolov8n_onnx_reuse_jetson,cv,local_cv,Jetson Orin Nano 8GB,YOLOv8n,FP32 ONNX,ONNXRuntime CPU reuse,,,,,91.70,108.64,,,,,0,3.4,benchmark_only,"local_only;allow_remote",false,"Project 3 Phase 2 YOLO ONNXRuntime reuse benchmark; COCO labels"
cv_yolov8n_trt_fp16_jetson,cv,local_cv,Jetson Orin Nano 8GB,YOLOv8n,FP16,TensorRT FP16,,,,,14.54,28.98,,,,,0,3.4,benchmark_only,"local_only;allow_remote",false,"Project 3 Phase 2 TensorRT FP16 benchmark; engine is runtime asset only"
vlm_gemma4_e2b_q4_mmproj_rtx,vlm,remote_vlm,RTX 5090 Laptop 24GB / WSL2,Gemma 4 E2B-it + mmproj,Q4_K_M + mmproj-F16,llama.cpp mtmd FastAPI wrapper,,,,,,,19478.60,,,,0,3.2,integrated_real_backend,allow_remote,false,"Project 2 v0.5b real remote VLM; avg remote latency over 4 remote smoke cases; output quality is deployment sanity check"
