model_key,quantization,prompt_id,instruction_following,completeness,obvious_hallucination,code_runs_or_plausible,notes
qwen35_08b_ptq_f16,F16,zh_qa_edge_ai,1,1,yes,not_applicable,"Covers latency and memory directionally, but incorrectly links quantization with pruning/sparse computation and is still truncated."
qwen35_08b_ptq_q8_0,Q8_0,zh_qa_edge_ai,1,1,yes,not_applicable,"Follows the requested topic, but incorrectly describes quantization as removing weights and includes FP16/FP32 as quantization examples."
qwen35_08b_ptq_q4_k_m,Q4_K_M,zh_qa_edge_ai,1,1,yes,not_applicable,"Relevant framing, but incorrectly claims quantization directly adds latency and usually requires fine-tuning/retraining after deployment."
qwen35_08b_ptq_f16,F16,en_qa_quant,1,1,yes,not_applicable,"Addresses the three requested axes, but makes exaggerated speed claims such as Q4 being 10x-20x faster than Q8."
qwen35_08b_ptq_q8_0,Q8_0,en_qa_quant,1,1,yes,not_applicable,"Addresses speed/memory/quality, but repeats exaggerated Q4-vs-Q8 speed claims."
qwen35_08b_ptq_q4_k_m,Q4_K_M,en_qa_quant,1,1,yes,not_applicable,"Usable structure, but wrongly describes Q4_K_M as 16-bit and Q8_0 as 32-bit."
qwen35_08b_ptq_f16,F16,code_python_csv,2,1,no,yes,"Starts a plausible CSV append function with the requested fields, but the output ends before the implementation is complete."
qwen35_08b_ptq_q8_0,Q8_0,code_python_csv,2,1,no,yes,"Starts a plausible CSV append function with the requested fields, but the output ends before the implementation is complete."
qwen35_08b_ptq_q4_k_m,Q4_K_M,code_python_csv,0,0,yes,no,"Does not follow the requested simple CSV function; output drifts into irrelevant repeated sklearn imports."
qwen35_08b_ptq_f16,F16,summary_en,1,1,no,not_applicable,"Provides useful summary options, but does not produce a single concise summary and is still cut off."
qwen35_08b_ptq_q8_0,Q8_0,summary_en,1,1,no,not_applicable,"Provides useful summary options, but does not produce a single concise summary and is still cut off."
qwen35_08b_ptq_q4_k_m,Q4_K_M,summary_en,1,1,yes,not_applicable,"Structured and partly useful, but introduces unsupported specifics such as Qwen2.5-7B and questionable hardware claims."
qwen35_08b_ptq_f16,F16,reasoning_ops,1,1,yes,not_applicable,"Relevant experiment-planning direction, but contains incorrect hardware assumptions such as RTX/Jetson HBM wording and is incomplete."
qwen35_08b_ptq_q8_0,Q8_0,reasoning_ops,1,1,yes,not_applicable,"Relevant planning structure, but incorrectly states RTX 5090 has 12GB and makes generic Jetson memory assumptions."
qwen35_08b_ptq_q4_k_m,Q4_K_M,reasoning_ops,1,1,no,not_applicable,"Mostly relevant high-level scheduling idea, but reasoning is incomplete and somewhat vague."
