runtime,model_name,image_path,iteration,detected_labels,detections,confidence,inference_latency_ms,total_latency_ms,adapter_init_latency_ms,ok,error
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,1,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.71,58.75,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,2,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.46,26.24,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,3,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.58,26.46,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,4,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.53,25.61,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,5,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.57,24.92,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,6,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.6,25.77,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,7,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.43,26.03,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,8,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.67,26.54,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,9,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.7,27.1,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,10,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.55,27.76,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,11,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.6,28.63,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,12,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.79,28.02,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,13,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.55,28.16,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,14,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.69,29.01,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,15,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.78,28.3,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,16,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.59,28.84,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,17,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.68,28.8,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,18,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.6,28.62,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,19,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.56,28.8,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,20,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.64,29.32,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,21,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.62,28.98,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,22,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.71,28.98,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,23,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.68,29.37,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,24,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.55,28.71,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,25,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.59,28.42,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,26,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.54,28.76,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,27,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.64,29.26,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,28,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.66,28.76,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,29,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.62,28.46,183.67,True,
python_tensorrt_fp16,yolov8n_tensorrt_fp16,results/figures/camera_v05_positive_detection.jpg,30,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.65,28.7,183.67,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,1,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,13.99,23.26,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,2,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.01,23.95,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,3,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.15,24.43,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,4,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,13.98,25.69,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,5,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.05,27.2,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,6,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.07,26.73,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,7,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.01,28.83,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,8,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.06,27.94,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,9,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,13.99,28.3,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,10,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.04,29.6,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,11,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,13.98,28.55,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,12,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.09,30.19,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,13,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.2,29.17,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,14,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.12,30.11,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,15,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.08,29.2,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,16,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.16,30.48,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,17,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.08,30.51,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,18,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.1,30.88,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,19,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.07,30.64,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,20,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.08,30.12,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,21,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.08,31.31,235.63,True,
cpp_tensorrt_worker_fp16,yolov8n_tensorrt_cpp_fp16,results/figures/camera_v05_positive_detection.jpg,22,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.19,31.44,235.63,True,
