model_key,quantization,prompt_id,instruction_following,completeness,obvious_hallucination,code_runs_or_plausible,notes
qwen35_08b_ptq_f16,F16,zh_qa_edge_ai,1,1,yes,not_applicable,"Relevant start, but conflates quantization with pruning and is truncated before three full points."
qwen35_08b_ptq_q8_0,Q8_0,zh_qa_edge_ai,1,1,no,not_applicable,"Relevant start and mentions the requested axes, but incomplete under the token limit."
qwen35_08b_ptq_q4_k_m,Q4_K_M,zh_qa_edge_ai,1,1,no,not_applicable,"Follows the requested framing, but the answer is truncated after the first point."
qwen35_08b_ptq_f16,F16,en_qa_quant,2,1,no,not_applicable,"Accurate framing of speed, memory, and quality trade-offs, but truncated."
qwen35_08b_ptq_q8_0,Q8_0,en_qa_quant,2,1,no,not_applicable,"Accurate framing of speed, memory, and quality trade-offs, but truncated."
qwen35_08b_ptq_q4_k_m,Q4_K_M,en_qa_quant,1,1,yes,not_applicable,"Partly follows the prompt, but describes Q4_K_M as 16-bit and Q8_0 as 32-bit."
qwen35_08b_ptq_f16,F16,code_python_csv,2,1,no,yes,"Starts a plausible CSV append function with the requested fields, but output is incomplete."
qwen35_08b_ptq_q8_0,Q8_0,code_python_csv,2,1,no,yes,"Starts a plausible CSV append function with the requested fields, but output is incomplete."
qwen35_08b_ptq_q4_k_m,Q4_K_M,code_python_csv,1,1,no,yes,"Plausible Python, but signature does not directly expose the requested benchmark fields and has unnecessary imports."
qwen35_08b_ptq_f16,F16,summary_en,1,2,no,not_applicable,"Produces useful summaries, but offers multiple options instead of one concise summary."
qwen35_08b_ptq_q8_0,Q8_0,summary_en,1,2,no,not_applicable,"Produces useful summaries, but offers multiple options instead of one concise summary."
qwen35_08b_ptq_q4_k_m,Q4_K_M,summary_en,2,1,no,not_applicable,"Gives a structured engineering summary, but it is cut off at the end."
qwen35_08b_ptq_f16,F16,reasoning_ops,2,1,no,not_applicable,"Relevant experiment-ordering reasoning, but truncated."
qwen35_08b_ptq_q8_0,Q8_0,reasoning_ops,1,1,yes,not_applicable,"Relevant structure, but makes incorrect hardware-memory assumptions."
qwen35_08b_ptq_q4_k_m,Q4_K_M,reasoning_ops,2,1,no,not_applicable,"Relevant migration strategy, but truncated."
