runtime,model_name,image_path,iteration,detected_labels,detections,confidence,inference_latency_ms,total_latency_ms,session_init_latency_ms,ok,error
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,1,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.72,57.43,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,2,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.39,26.74,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,3,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.31,26.65,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,4,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.47,25.71,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,5,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.49,25.34,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,6,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.47,25.99,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,7,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.52,26.57,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,8,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.37,26.6,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,9,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.62,27.0,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,10,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.59,27.25,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,11,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.7,27.93,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,12,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.71,28.02,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,13,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.69,28.46,200.44,True,
