request_id,image_source,task_type,privacy,quality,route,selected_model,remote_is_mock,local_cv_backend,local_cv_model,engine_path,fallback_used,detected_labels,detections,capture_latency_ms,local_cv_inference_latency_ms,local_cv_total_latency_ms,remote_latency_ms,total_latency_ms,expected_route,match_expected,error,reasons
yolo_trt_detect_low,camera,detect,allow_remote,low,local,yolov8n_tensorrt_fp16,False,yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/models/vision/yolo_nano/yolov8n_fp16.engine,False,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.4551, ""box"": [1051, 307, 1280, 708]}]",1298.76,14.4,61.11,,1359.91,local,True,,"[""task_type=detect is covered by local CV backend yolov8n_tensorrt_fp16"", ""quality is not high, so remote VLM is unnecessary""]"
yolo_trt_classify_low,camera,classify,allow_remote,low,local,yolov8n_tensorrt_fp16,False,yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/models/vision/yolo_nano/yolov8n_fp16.engine,False,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.4551, ""box"": [1051, 307, 1280, 708]}]",1298.76,14.4,61.11,,1359.88,local,True,,"[""task_type=classify is covered by local CV backend yolov8n_tensorrt_fp16"", ""quality is not high, so remote VLM is unnecessary""]"
yolo_trt_detect_private,camera,detect,local_only,medium,local,yolov8n_tensorrt_fp16,False,yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/models/vision/yolo_nano/yolov8n_fp16.engine,False,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.4551, ""box"": [1051, 307, 1280, 708]}]",1298.76,14.4,61.11,,1359.88,local,True,,"[""task_type=detect is covered by local CV backend yolov8n_tensorrt_fp16"", ""quality is not high, so remote VLM is unnecessary""]"
yolo_trt_classify_private,camera,classify,local_only,medium,local,yolov8n_tensorrt_fp16,False,yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/models/vision/yolo_nano/yolov8n_fp16.engine,False,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.4551, ""box"": [1051, 307, 1280, 708]}]",1298.76,14.4,61.11,,1359.88,local,True,,"[""task_type=classify is covered by local CV backend yolov8n_tensorrt_fp16"", ""quality is not high, so remote VLM is unnecessary""]"
yolo_trt_scene_remote,camera,scene_description,allow_remote,medium,remote,mock_remote_vlm,True,yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/models/vision/yolo_nano/yolov8n_fp16.engine,False,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.4551, ""box"": [1051, 307, 1280, 708]}]",1298.76,14.4,61.11,0.0,1359.89,remote,True,,"[""task_type=scene_description requires semantic visual reasoning""]"
yolo_trt_vqa_high,camera,vqa,allow_remote,high,remote,mock_remote_vlm,True,yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/models/vision/yolo_nano/yolov8n_fp16.engine,False,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.4551, ""box"": [1051, 307, 1280, 708]}]",1298.76,14.4,61.11,0.0,1359.88,remote,True,,"[""task_type=vqa requires semantic visual reasoning"", ""quality=high requests stronger visual understanding""]"
yolo_trt_scene_high,camera,scene_description,allow_remote,high,remote,mock_remote_vlm,True,yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/models/vision/yolo_nano/yolov8n_fp16.engine,False,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.4551, ""box"": [1051, 307, 1280, 708]}]",1298.76,14.4,61.11,0.0,1359.88,remote,True,,"[""task_type=scene_description requires semantic visual reasoning"", ""quality=high requests stronger visual understanding""]"
yolo_trt_detect_high,camera,detect,allow_remote,high,remote,mock_remote_vlm,True,yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/models/vision/yolo_nano/yolov8n_fp16.engine,False,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.4551, ""box"": [1051, 307, 1280, 708]}]",1298.76,14.4,61.11,0.0,1359.88,remote,True,,"[""quality=high requests stronger visual understanding""]"
yolo_trt_vqa_private,camera,vqa,local_only,medium,reject,,False,yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/models/vision/yolo_nano/yolov8n_fp16.engine,False,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.4551, ""box"": [1051, 307, 1280, 708]}]",1298.76,14.4,61.11,,1359.88,reject,True,,"[""privacy=local_only prevents sending image to remote VLM"", ""local CV backend only supports detection/classification, not high-level semantic explanation""]"
yolo_trt_scene_private_high,camera,scene_description,local_only,high,reject,,False,yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/models/vision/yolo_nano/yolov8n_fp16.engine,False,"[""chair""]","[{""label"": ""chair"", ""confidence"": 0.4551, ""box"": [1051, 307, 1280, 708]}]",1298.76,14.4,61.11,,1359.88,reject,True,,"[""privacy=local_only prevents sending image to remote VLM"", ""local CV backend only supports detection/classification, not high-level semantic explanation""]"
