runtime,model_name,image_path,iteration,detected_labels,detections,confidence,inference_latency_ms,total_latency_ms,session_init_latency_ms,ok,error
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,1,"[""no_detection""]",[],,11.65,53.07,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,2,"[""no_detection""]",[],,11.42,25.71,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,3,"[""no_detection""]",[],,11.38,25.71,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,4,"[""no_detection""]",[],,11.45,25.79,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,5,"[""no_detection""]",[],,11.61,25.96,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,6,"[""no_detection""]",[],,11.43,25.79,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,7,"[""no_detection""]",[],,11.67,26.45,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,8,"[""no_detection""]",[],,11.46,25.92,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,9,"[""no_detection""]",[],,11.64,26.35,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,10,"[""no_detection""]",[],,11.64,25.83,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,11,"[""no_detection""]",[],,11.4,26.43,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,12,"[""no_detection""]",[],,11.84,26.45,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,13,"[""no_detection""]",[],,11.8,26.85,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,14,"[""no_detection""]",[],,11.59,27.43,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,15,"[""no_detection""]",[],,11.56,26.46,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,16,"[""no_detection""]",[],,11.48,27.34,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,17,"[""no_detection""]",[],,11.9,27.73,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,18,"[""no_detection""]",[],,11.47,27.6,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,19,"[""no_detection""]",[],,11.95,27.15,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,20,"[""no_detection""]",[],,11.54,27.12,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,21,"[""no_detection""]",[],,11.52,26.79,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,22,"[""no_detection""]",[],,11.88,27.13,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,23,"[""no_detection""]",[],,11.57,27.32,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,24,"[""no_detection""]",[],,11.46,27.22,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,25,"[""no_detection""]",[],,11.99,27.6,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,26,"[""no_detection""]",[],,11.49,27.24,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,27,"[""no_detection""]",[],,11.48,27.18,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,28,"[""no_detection""]",[],,11.73,26.93,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,29,"[""no_detection""]",[],,11.47,27.19,182.6,True,
yolo_tensorrt_int8,yolov8n_tensorrt_int8,results/figures/camera_v05_positive_detection.jpg,30,"[""no_detection""]",[],,11.63,27.43,182.6,True,
