request_id,image_path,image_width,image_height,resize_policy,resized_width,resized_height,image_bytes,prompt_template,max_tokens,client_read_ms,client_resize_ms,client_base64_encode_ms,request_payload_bytes,network_roundtrip_ms,server_base64_decode_ms,server_image_write_ms,server_resize_ms,server_subprocess_ms,server_total_ms,server_endpoint_total_ms,total_latency_ms,output_chars,response_preview,contains_reasoning_phrase,object_mentioned,answer_quality_manual,ok,error,mode
prompt_verbose_baseline_32_fffb5c6a9165,results/figures/camera_v05_real_vlm_sample.jpg,1280,720,448,448,252,63972,verbose_baseline,32,0.07,17.09,0.04,20674,19231.66,0.06,0.15,0.0,19130.87,19131.08,19131.18,19249.87,129,Here's a thinking process to arrive at the desired description: 1.  **Analyze the Request:** The goal is to describe the provided,True,False,2,True,,subprocess_cli_mode
prompt_verbose_baseline_64_fffb5c6a9165,results/figures/camera_v05_real_vlm_sample.jpg,1280,720,448,448,252,63972,verbose_baseline,64,0.07,17.12,0.04,20674,16169.62,0.08,0.18,0.0,15962.23,15962.49,15962.6,16187.88,288,"Here's a thinking process to arrive at the desired description: 1.  **Analyze the Request:** The goal is to describe the provided image directly in natural language, suitable for an edge AI routing demo. The description must include visible",True,True,4,True,,subprocess_cli_mode
prompt_verbose_baseline_128_fffb5c6a9165,results/figures/camera_v05_real_vlm_sample.jpg,1280,720,448,448,252,63972,verbose_baseline,128,0.07,17.75,0.04,20675,16254.81,0.04,0.14,0.0,16106.9,16107.08,16107.17,16273.38,523,"Here's a thinking process to arrive at the desired description: 1.  **Analyze the Request:** The goal is to describe the provided image directly in natural language, suitable for an edge AI routing demo. The description must include visible",True,True,3,True,,subprocess_cli_mode
prompt_concise_scene_32_fffb5c6a9165,results/figures/camera_v05_real_vlm_sample.jpg,1280,720,448,448,252,63972,concise_scene,32,0.07,15.98,0.04,20636,16674.41,0.1,0.24,0.0,16516.53,16516.87,16517.01,16691.21,138,"Thinking Process: 1.  **Analyze the Request:** The user wants a one-sentence description of the provided image, stated directly in natural",True,False,2,True,,subprocess_cli_mode
prompt_concise_scene_64_fffb5c6a9165,results/figures/camera_v05_real_vlm_sample.jpg,1280,720,448,448,252,63972,concise_scene,64,0.08,15.95,0.05,20636,16674.49,0.06,0.19,0.0,16512.39,16512.64,16512.76,16691.29,264,"Thinking Process: 1.  **Analyze the Request:** The user wants a one-sentence description of the provided image, stated directly in natural language, without any hidden reasoning or explanation. 2.  **Analyze the Image:** *   **Setting:** Ap",True,True,4,True,,subprocess_cli_mode
prompt_concise_scene_128_fffb5c6a9165,results/figures/camera_v05_real_vlm_sample.jpg,1280,720,448,448,252,63972,concise_scene,128,0.07,15.99,0.05,20637,17698.07,0.1,0.24,0.0,17483.11,17483.45,17483.64,17714.86,509,"Thinking Process: 1.  **Analyze the Request:** The user wants a one-sentence description of the provided image, stated directly in natural language, without any hidden reasoning or explanation. 2.  **Analyze the Image:** *   **Setting:** Ap",True,True,3,True,,subprocess_cli_mode
prompt_concise_vqa_32_fffb5c6a9165,results/figures/camera_v05_real_vlm_sample.jpg,1280,720,448,448,252,63972,concise_vqa,32,0.08,15.52,0.05,20608,17598.17,0.06,0.19,0.0,17428.18,17428.43,17428.54,17614.51,114,Here's a thinking process to arrive at the answer: 1.  **Analyze the Request:** The user wants to know if there is,True,False,2,True,,subprocess_cli_mode
prompt_concise_vqa_64_fffb5c6a9165,results/figures/camera_v05_real_vlm_sample.jpg,1280,720,448,448,252,63972,concise_vqa,64,0.08,15.43,0.04,20608,18113.03,0.08,0.21,0.0,18007.56,18007.85,18008.0,18129.3,251,"Here's a thinking process to arrive at the answer: 1.  **Analyze the Request:** The user wants to know if there is a chair in the provided image. The answer must be direct and in natural language, without hidden reasoning. 2.  **Examine the",True,True,4,True,,subprocess_cli_mode
prompt_concise_vqa_128_fffb5c6a9165,results/figures/camera_v05_real_vlm_sample.jpg,1280,720,448,448,252,63972,concise_vqa,128,0.07,15.52,0.04,20609,18792.3,0.06,0.16,0.0,18431.93,18432.15,18432.25,18808.63,495,"Here's a thinking process to arrive at the answer: 1.  **Analyze the Request:** The user wants to know if there is a chair in the provided image. The answer must be direct and in natural language, without hidden reasoning. 2.  **Examine the",True,True,3,True,,subprocess_cli_mode
prompt_structured_json_32_fffb5c6a9165,results/figures/camera_v05_real_vlm_sample.jpg,1280,720,448,448,252,63972,structured_json,32,0.07,15.43,0.04,20623,16852.99,0.07,0.17,0.0,16770.21,16770.45,16770.56,16869.25,102,Here's a thinking process to arrive at the desired output: 1.  **Analyze the Request:** *   **Input:**,True,False,2,True,,subprocess_cli_mode
prompt_structured_json_64_fffb5c6a9165,results/figures/camera_v05_real_vlm_sample.jpg,1280,720,448,448,252,63972,structured_json,64,0.07,15.52,0.04,20623,18544.56,0.04,0.14,0.0,18216.2,18216.38,18216.48,18560.88,237,"Here's a thinking process to arrive at the desired output: 1.  **Analyze the Request:** *   **Input:** An image (a low-resolution indoor scene). *   **Task:** Describe the image and output the result in a specific JSON format (`objects`,",True,False,2,True,,subprocess_cli_mode
prompt_structured_json_128_fffb5c6a9165,results/figures/camera_v05_real_vlm_sample.jpg,1280,720,448,448,252,63972,structured_json,128,0.07,16.3,0.04,20624,18854.49,0.07,0.19,0.0,18661.1,18661.36,18661.49,18872.3,469,"Here's a thinking process to arrive at the desired output: 1.  **Analyze the Request:** *   **Input:** An image (a low-resolution indoor scene). *   **Task:** Describe the image and output the result in a specific JSON format (`objects`, `s",True,True,3,True,,subprocess_cli_mode
