request_id,image_source,task_type,privacy,quality,route,selected_model,remote_is_mock,remote_model,remote_response_preview,local_cv_model,detected_labels,detections,capture_latency_ms,local_cv_latency_ms,remote_latency_ms,total_latency_ms,expected_route,match_expected,error,reasons
real_vlm_detect_low,camera,detect,allow_remote,low,local,mobilenet_ssd_voc_opencv_dnn,False,,,mobilenet_ssd_voc_opencv_dnn,"[""chair"", ""diningtable""]","[{""label"": ""chair"", ""confidence"": 0.727, ""box"": [198, 75, 1124, 714]}, {""label"": ""diningtable"", ""confidence"": 0.3106, ""box"": [179, 113, 1182, 714]}]",1214.69,79.29,,1456.72,local,True,,"[""task_type=detect is covered by the local CV baseline"", ""quality is not high, so remote VLM is unnecessary""]"
real_vlm_classify_low,camera,classify,allow_remote,low,local,mobilenet_ssd_voc_opencv_dnn,False,,,mobilenet_ssd_voc_opencv_dnn,"[""chair"", ""diningtable""]","[{""label"": ""chair"", ""confidence"": 0.727, ""box"": [198, 75, 1124, 714]}, {""label"": ""diningtable"", ""confidence"": 0.3106, ""box"": [179, 113, 1182, 714]}]",1214.69,79.29,,1456.69,local,True,,"[""task_type=classify is covered by the local CV baseline"", ""quality is not high, so remote VLM is unnecessary""]"
real_vlm_detect_private,camera,detect,local_only,medium,local,mobilenet_ssd_voc_opencv_dnn,False,,,mobilenet_ssd_voc_opencv_dnn,"[""chair"", ""diningtable""]","[{""label"": ""chair"", ""confidence"": 0.727, ""box"": [198, 75, 1124, 714]}, {""label"": ""diningtable"", ""confidence"": 0.3106, ""box"": [179, 113, 1182, 714]}]",1214.69,79.29,,1456.69,local,True,,"[""task_type=detect is covered by the local CV baseline"", ""quality is not high, so remote VLM is unnecessary""]"
real_vlm_classify_private,camera,classify,local_only,medium,local,mobilenet_ssd_voc_opencv_dnn,False,,,mobilenet_ssd_voc_opencv_dnn,"[""chair"", ""diningtable""]","[{""label"": ""chair"", ""confidence"": 0.727, ""box"": [198, 75, 1124, 714]}, {""label"": ""diningtable"", ""confidence"": 0.3106, ""box"": [179, 113, 1182, 714]}]",1214.69,79.29,,1456.69,local,True,,"[""task_type=classify is covered by the local CV baseline"", ""quality is not high, so remote VLM is unnecessary""]"
real_vlm_scene_remote,camera,scene_description,allow_remote,medium,remote,gemma4_e2b_it_q4_mmproj,False,gemma4_e2b_it_q4_mmproj,"Here's a thinking process to arrive at the desired description: 1.  **Analyze the Request:** The user wants a single, concise sentence describing the provided camera image, and explicitly forbids mentioning hidden reasoning. 2.  **Examine t",mobilenet_ssd_voc_opencv_dnn,"[""chair"", ""diningtable""]","[{""label"": ""chair"", ""confidence"": 0.727, ""box"": [198, 75, 1124, 714]}, {""label"": ""diningtable"", ""confidence"": 0.3106, ""box"": [179, 113, 1182, 714]}]",1214.69,79.29,19952.67,21704.29,remote,True,,"[""task_type=scene_description requires semantic visual reasoning""]"
real_vlm_vqa_high,camera,vqa,allow_remote,high,remote,gemma4_e2b_it_q4_mmproj,False,gemma4_e2b_it_q4_mmproj,"Here's a thinking process to arrive at the desired answer: 1.  **Analyze the Request:** The user wants to know the ""most prominent object or furniture visible in the image"" and requires the answer directly in natural language, without menti",mobilenet_ssd_voc_opencv_dnn,"[""chair"", ""diningtable""]","[{""label"": ""chair"", ""confidence"": 0.727, ""box"": [198, 75, 1124, 714]}, {""label"": ""diningtable"", ""confidence"": 0.3106, ""box"": [179, 113, 1182, 714]}]",1214.69,79.29,19245.35,20909.33,remote,True,,"[""task_type=vqa requires semantic visual reasoning"", ""quality=high requests stronger visual understanding""]"
real_vlm_scene_high,camera,scene_description,allow_remote,high,remote,gemma4_e2b_it_q4_mmproj,False,gemma4_e2b_it_q4_mmproj,"Here's a thinking process to arrive at the desired description: 1.  **Analyze the image:** What are the main elements in the frame? *   **Foreground/Center:** A light-colored bowl (or dish) resting on a larger, rounded, beige/light brown su",mobilenet_ssd_voc_opencv_dnn,"[""chair"", ""diningtable""]","[{""label"": ""chair"", ""confidence"": 0.727, ""box"": [198, 75, 1124, 714]}, {""label"": ""diningtable"", ""confidence"": 0.3106, ""box"": [179, 113, 1182, 714]}]",1214.69,79.29,19175.39,20810.45,remote,True,,"[""task_type=scene_description requires semantic visual reasoning"", ""quality=high requests stronger visual understanding""]"
real_vlm_detect_high,camera,detect,allow_remote,high,remote,gemma4_e2b_it_q4_mmproj,False,gemma4_e2b_it_q4_mmproj,"Here's a thinking process to arrive at the desired output: 1.  **Analyze the Request:** The user wants me to look at the provided image and identify the main visible object, then describe it briefly, and answer directly in natural language",mobilenet_ssd_voc_opencv_dnn,"[""chair"", ""diningtable""]","[{""label"": ""chair"", ""confidence"": 0.727, ""box"": [198, 75, 1124, 714]}, {""label"": ""diningtable"", ""confidence"": 0.3106, ""box"": [179, 113, 1182, 714]}]",1214.69,79.29,19541.01,21219.68,remote,True,,"[""quality=high requests stronger visual understanding""]"
real_vlm_vqa_private,camera,vqa,local_only,medium,reject,,False,,,mobilenet_ssd_voc_opencv_dnn,"[""chair"", ""diningtable""]","[{""label"": ""chair"", ""confidence"": 0.727, ""box"": [198, 75, 1124, 714]}, {""label"": ""diningtable"", ""confidence"": 0.3106, ""box"": [179, 113, 1182, 714]}]",1214.69,79.29,,1456.7,reject,True,,"[""privacy=local_only prevents sending image to remote VLM"", ""local CV baseline only supports detection/classification, not high-level semantic explanation""]"
real_vlm_scene_private_high,camera,scene_description,local_only,high,reject,,False,,,mobilenet_ssd_voc_opencv_dnn,"[""chair"", ""diningtable""]","[{""label"": ""chair"", ""confidence"": 0.727, ""box"": [198, 75, 1124, 714]}, {""label"": ""diningtable"", ""confidence"": 0.3106, ""box"": [179, 113, 1182, 714]}]",1214.69,79.29,,1456.69,reject,True,,"[""privacy=local_only prevents sending image to remote VLM"", ""local CV baseline only supports detection/classification, not high-level semantic explanation""]"
